rpm,P1 (bar),Absolute pressure (bar),Voltage (V),Current (A),Manometer delta_P (mmH2O),T1 (K),T3 (K),T4 (K),T5 (K),T7 (K),T8 (K),Water Flow Rate (L/min),Torque (Nm)
600,3,4.01,89,10,58,294.15,438.15,377.15,297.15,298.15,298.15,1,5.2
600,5,6.01,89,11,56,293.15,442.15,367.15,296.15,296.15,298.15,1,6.2
600,9,10.01,89,13,35,294.15,461.15,355.15,295.15,296.15,299.15,1,6.5
600,2,3.01,85,8.5,60,293.15,438.15,378.15,295.15,293.15,296.15,1,4.9
600,4,5.01,90,11,58,294.15,446.15,372.15,295.15,294.15,296.15,1,5.6
600,6,7.01,90,12.5,51,293.15,451.15,367.15,295.15,294.15,296.15,1,5.9
600,8,9.01,90,13,43,294.15,459.15,362.15,295.15,294.15,296.15,1,5.9
600,10,11.01,90,14,34,294.15,469.15,357.15,295.15,294.15,295.15,1,6.5
600,2,3.01,90,8,60,294.15,417.15,302.15,302.15,298.15,298.15,1.5,4.3
600,6,7.01,90,12,50,293.15,457.15,350.15,295.15,296.15,297.15,1.5,5.2
600,8,9.01,90,13,52,293.15,444.15,328.15,295.15,296.15,297.15,1.5,5.5
600,2,3.01,90,8,60,294.15,417.15,302.15,302.15,298.15,298.15,1.5,4.3
600,4,5.01,90,11,55,295.15,430.15,302.15,298.15,294.15,294.15,1.5,4.8
600,6,7.01,90,13,47,294.15,442.15,302.15,298.15,294.15,294.15,1.5,5
600,8,9.01,90,13,40,294.15,454.15,302.15,298.15,294.15,294.15,1.5,5.1
600,10,11.01,90,14,32,294.15,465.15,302.15,298.15,294.15,294.15,1.5,5.2
600,6,7.01,90,12,46,293.15,473.15,360.15,295.15,297.15,296.15,2,5.3
600,8,9.01,90,13,40,293.15,473.15,354.15,295.17,296.15,297.15,2,4.9
600,10,11.01,90,13,35,293.15,463.15,341.15,295.15,296.15,299.15,2,5.1
600,2,3.01,90,9,63,295.15,397.15,299.15,295.15,295.15,296.15,2.5,4.7
600,4,5.01,90,11,53,294.15,423.15,299.15,295.15,295.15,296.15,2.5,4.6
600,6,7.01,90,12,48,294.15,445.15,300.15,295.15,295.15,296.15,2.5,4.5
600,8,9.01,90,13,39,294.15,456.15,316.15,296.15,295.15,296.15,2.5,5
600,2,3.01,89,9,57,293.15,454.15,366.15,295.15,294.15,295.15,2.5,4.2
600,4,5.01,89,11,55,294.15,443.15,368.15,296.15,294.15,295.15,2.5,4.9
600,6,7.01,89,12.5,50,294.15,452.15,364.15,296.15,294.15,295.15,2.5,4.7
600,8,9.01,89,13,40,294.15,460.15,360.15,296.15,294.15,295.15,2.5,4.5
600,9,10.01,89,13.5,37,294.15,472.15,356.15,296.15,295.15,295.15,2.5,5
650,2,3.01,90,9,68,292.15,442.15,380.15,295.15,295.15,297.15,1,4.5
650,4,5.01,95,11,60,292.15,469.15,372.15,295.15,294.15,297.15,1,5.7
650,6,7.01,95,12,55,293.15,478.15,366.15,295.15,295.15,297.15,1,6.7
650,8,9.01,95,13,48,293.15,480.15,360.15,296.15,295.15,297.15,1,6.8
650,2,3.01,90,9,70,293.15,434.15,381.15,295.15,293.15,296.15,1,4.5
650,4,5.01,90,11,63,293.15,446.15,375.15,295.15,293.15,296.15,1,5.7
650,6,7.01,90,13,57,293.15,457.15,370.15,295.15,293.15,296.15,1,6.2
650,8,9.01,90,13.5,50,293.15,465.15,365.15,295.15,294.15,296.15,1,1
650,10,11.01,90,14,41,293.15,473.15,361.15,295.15,294.15,295.15,1,6
650,2,3.01,92,8.5,68,292.15,444.15,382.15,294.15,293.15,296.15,1.5,3.9
650,4,5.01,92,11,59,293.15,470.15,374.15,294.15,294.15,296.15,1.5,5.1
650,6,7.01,95,12,52,295.15,484.15,364.15,294.15,294.15,295.15,1.5,5.4
650,8,9.01,92,13,44,293.15,485.15,358.15,295.15,294.15,295.15,1.5,6.4
650,10,11.01,95,13.5,38,293.15,477.15,353.15,295.15,296.15,295.15,1.5,0.6
650,2,3.01,95,8.5,71,293.15,422.15,371.15,296.15,294.15,296.15,2,4
650,4,5.01,98,11.5,59,295.15,435.15,365.15,296.15,294.15,296.15,2,5.2
650,6,7.01,98,12.5,54,294.15,450.15,360.15,296.15,294.15,296.15,2,5.5
650,8,9.01,98,13.5,48,295.15,462.15,356.15,295.15,294.15,295.15,2,5.7
650,2,3.01,100,9,69,294.15,433.15,381.15,296.15,294.15,296.15,2.5,4.3
650,4,5.01,90,12,59,294.15,443.15,370.15,296.15,295.15,296.15,2.5,4.9
650,6,7.01,100,13,56,294.15,455.15,367.15,296.15,295.15,296.15,2.5,5
650,8,9.01,100,13,49,295.15,466.15,363.15,296.15,295.15,296.15,2.5,5.3
650,10,11.01,90,14,39,295.15,476.15,359.15,296.15,295.15,296.15,2.5,5.2
700,2,3.01,100,12,86,293.15,431.15,391.15,296.15,294.15,297.15,1,4.2
700,4,5.01,100,12,67,293.15,447.15,378.15,296.15,294.15,297.15,1,6.1
700,6,7.01,100,13,61,293.15,459.15,373.15,296.15,294.15,296.15,1,6.5
700,8,9.01,100,14,55,293.15,471.15,368.15,296.15,294.15,296.15,1,7
700,10,11.01,100,14,48,293.15,481.15,364.15,296.15,294.15,296.15,1,6.5
700,2,3.01,100,9,71,295.15,459.15,303.15,298.15,294.15,294.15,1.5,4.5
700,4,5.01,100,11,58,295.15,482.15,303.15,298.15,294.15,294.15,1.5,5.4
700,6,7.01,100,12.1,52,295.15,492.15,303.15,298.15,294.15,294.15,1.5,5.4
700,8,9.01,100,14,49,295.15,480.15,302.15,297.15,294.15,294.15,1.5,6
700,10,11.01,100,13.5,42,295.15,493.15,303.15,297.15,294.15,294.15,1.5,5.8
700,2.45,3.46,100,10,71.5,294.15,437.15,381.15,297.15,295.15,297.15,2.5,5
700,4,5.01,100,11.2,63,295.15,450.15,376.15,297.15,295.15,297.15,2.5,5.3
700,6,7.01,100,11.5,58,295.15,462.15,372.15,297.15,295.15,297.15,2.5,5.6
700,8,9.01,100,13.1,53,295.15,478.15,369.15,297.15,295.15,297.15,2.5,5.8
750,2,3.01,105,9.5,91,293.15,411.15,361.15,297.15,297.15,298.15,1,4.5
750,4,5.01,105,11.5,70,293.15,442.15,361.15,297.15,297.15,299.15,1,5.8
750,6,7.01,105,12.5,61,293.15,457.15,362.15,297.15,297.15,300.15,1,6.2
750,2,3.01,105,9,93,292.15,426.15,385.15,296.15,293.15,297.15,1,4.25
750,4,5.01,102,9,73,292.15,444.15,375.15,296.15,294.15,297.15,1,5.3
750,6,7.01,103,12.5,65,293.15,460.15,371.15,296.15,294.15,297.15,1,6.5
750,8,9.01,100,13.2,58,293.15,470.15,368.15,296.15,294.15,296.15,1,6.8
750,10,11.01,105,13.9,53,293.15,476.15,366.15,295.15,294.15,296.15,1,6.8
750,2,3.01,105,9,93,292.15,427.15,385.15,296.17,294.15,297.15,1.5,4.2
750,4,5.01,108,11.5,75,292.15,444.15,376.15,296.15,294.15,297.15,1.5,5.5
750,6,7.01,109,12.5,64,293.15,462.15,371.15,296.15,294.15,297.15,1.5,6.3
750,8,9.01,109,13.2,59,293.15,472.15,368.15,297.15,294.15,296.15,1.5,6.4
750,2,3.01,105,9.5,85,295.15,440.15,303.15,298.15,294.15,294.15,1.5,4.7
750,4,5.01,105,9.5,73,294.15,454.15,303.15,298.15,294.15,294.15,1.5,5.4
750,6,7.01,105,13,59,294.15,465.15,303.15,298.15,294.15,294.15,1.5,5.8
750,8,9.01,105,14,54,294.15,470.15,303.15,298.15,294.15,294.15,1.5,5.9
750,10,11.01,105,14,49,294.15,480.15,303.15,298.15,294.15,294.15,1.5,5.9
750,2,3.01,110,9,88,291.15,437.15,381.15,296.15,294.15,296.15,2,4.7
750,4,5.01,105,11.5,75,293.15,445.15,277.15,297.15,294.15,297.15,2,5.8
750,6,7.01,109,12.5,61,293.15,459.15,373.15,297.15,295.15,297.15,2,5.9
750,8,9.01,109,13,56,293.15,472.15,370.15,297.15,295.15,296.15,2,6.1
750,10,11.01,110,14,50,293.15,483.15,367.15,296.15,295.15,296.15,2,6.3
750,2,3.01,100,9,90,295.15,433.15,390.15,296.15,294.15,296.15,2.5,5.2
750,4,5.01,100,11,75,296.15,449.15,383.15,297.15,294.15,296.15,2.5,5.3
750,6,7.01,110,12.5,62,294.15,469.15,374.15,296.15,295.15,296.15,2.5,5.6
750,8,9.01,105,13,68,295.15,488.15,372.15,296.15,296.15,296.15,2.5,6.4
804,4,5.01,110,11.5,76,293.15,489.15,398.15,296.15,294.15,297.15,1,6
800,6,7.01,110,12.5,63,294.15,505.15,390.15,296.15,294.15,298.15,1,6.3
801,8,9.01,110,13,59,294.15,509.15,386.15,296.15,295.15,298.15,1,6.8
800,10,11.01,110,14,56,293.15,512.15,376.15,296.15,294.15,297.15,1,6.5
800,2,3.01,112,9,116,295.15,434.15,301.15,296.15,294.15,294.15,1.5,5
800,4,5.01,112,11,95,295.15,450.15,302.15,296.15,294.15,294.15,1.5,5.7
800,6,7.01,112,12,70,295.15,466.15,302.15,296.15,294.15,294.15,1.5,6.4
800,8,9.01,112,13,55,296.15,477.15,303.15,296.15,294.15,294.15,1.5,6
800,2,3.01,110,9,117,294.15,438.15,390.15,297.15,294.15,296.15,2.5,4.7
800,4,5.01,110,11.5,79,294.15,458.15,381.15,297.15,294.15,296.15,2.5,5.4
800,6,7.01,110,12.8,65,296.15,478.15,379.15,297.15,295.15,296.15,2.5,5.7
800,8,9.01,110,13,58,295.15,488.15,378.15,297.15,295.15,296.15,2.5,5.2
850,2,3.01,120,9,120,293.15,433.15,383.15,295.15,293.15,297.15,1,4.4
850,4,5.01,110,11,90,287.15,461.15,381.15,297.15,294.15,297.15,1,6
850,6,7.01,120,13,75,294.15,472.15,380.15,298.15,294.15,297.15,1,6.5
850,8,9.01,120,13.5,65,294.15,489.15,378.15,297.15,294.15,297.15,1,6.8
850,10,11.01,120,14,55,294.15,496.15,377.15,298.15,294.15,297.15,1,7
847,2,3.01,118,9.7,109,293.15,445.15,377.15,296.15,298.15,303.15,0.95,4.6
850,4,5.01,120,11.5,93,293.15,413.15,376.15,296.15,298.15,300.15,0.95,5.9
846,6,7.01,120,6,137,292.15,424.15,389.15,296.15,298.15,296.15,0.9,3.2
850,8,9.01,120,14,63,293.15,473.15,377.15,297.15,297.15,301.15,1,6.7
850,10,11.01,120,15,58,292.15,487.15,374.15,297.15,297.15,302.15,1.1,6.9
850,2,3.01,120,9.5,124,293.15,445.15,386.15,297.15,295.15,298.15,1.5,4.9
850,4,5.01,120,11.5,92,293.15,457.15,383.15,297.15,294.15,298.15,1.5,6
850,6,7.01,120,13,73,293.15,470.15,379.15,297.15,294.15,297.15,1.5,6.6
850,8,9.01,120,13,61.5,293.15,486.15,376.15,297.15,294.15,297.15,1.5,6.5
843,2,3.01,120,10,122,295.15,438.15,302.15,298.15,294.15,294.15,1.5,4.9
846,4,5.01,120,11.5,110,294.15,460.15,303.15,298.15,294.15,294.15,1.5,6
843,7,8.01,120,13,65,294.15,480.15,274.15,299.15,294.15,294.15,1.5,6.1
850,2,3.01,120,9.5,135,292.15,438.15,372.15,296.15,295.15,297.15,2,4.7
850,4,5.01,120,11.4,110,293.15,467.15,384.15,297.15,295.15,297.15,2,6
850,6,7.01,120,12.5,110,296.15,469.15,374.15,297.15,295.15,297.15,2,5.9
850,6,7.01,120,12.5,85,296.15,469.15,374.15,297.15,295.15,297.15,2,6.4
850,8,9.01,120,13,64,294.15,492.15,380.15,297.15,295.15,297.15,2,6
850,2,3.01,110,10,135,295.15,437.15,372.15,297.15,295.15,297.15,2.5,4.7
850,4,5.01,120,11.5,110,295.15,437.15,372.15,297.15,295.15,297.15,2.5,5.8
850,6,7.01,120,13,67,295.15,481.15,377.15,297.15,294.15,296.15,2.5,5.8
850,8,9.01,120,13,60,294.15,497.15,377.15,297.15,294.15,296.15,2.5,6.1
850,10,11.01,120,14,55,295.15,507.15,376.15,296.15,294.15,296.15,2.5,5.8
900,2,3.01,125,9,150,294.15,440.15,386.15,297.15,295.15,297.15,2.5,4.6
900,4,5.01,125,12,115,294.15,459.15,383.15,298.15,294.15,297.15,2.5,5.8
900,6,7.01,125,12.5,74,294.15,479.15,383.15,297.15,294.15,296.15,2.5,6
900,8,9.01,125,13,61.5,294.15,495.15,383.15,297.15,294.15,296.15,2.5,6.4
900,10,11.01,125,13.5,56.5,294.15,507.15,383.15,297.15,294.15,296.15,2.5,6.7
900,2,3.01,125,9,137,294.15,426.15,382.15,297.15,295.15,298.15,1,4.4
900,4,5.01,125,11.5,109,293.15,451.15,379.15,297.15,294.15,298.15,1,5.5
900,6,7.01,125,12.5,84,293.15,451.15,377.15,297.15,294.15,297.15,1,6.3
900,8,9.01,125,13,70,294.15,493.15,379.15,297.15,294.15,297.15,1,6.7
900,10,11.01,125,14,59,294.15,506.15,378.15,297.15,294.15,297.15,1,6.9
900,2,3.01,125,9.1,140,293.15,431.15,387.15,297.15,294.15,298.15,1,4.6
900,4,5.01,125,11.2,108,293.15,455.15,382.15,297.15,294.15,298.15,1,5.6
900,6,7.01,125,12.5,83,293.15,474.15,381.15,297.15,294.15,297.15,1,6.2
900,8,9.01,125,13,70,293.15,494.15,381.15,297.15,294.15,297.15,1,6.8
900,3.9,4.91,127,11.2,115,295.15,442.15,296.15,294.15,294.15,294.15,1.49,5.8
900,6,7.01,129,12.05,108,296.15,466.15,298.15,295.15,294.15,295.15,1.495,6.5
900,8,9.01,129,13,77,294.15,486.15,302.15,295.15,295.15,295.15,1.49,6.9
904,10,11.01,129,13.1,58,296.15,505.15,300.15,295.15,295.15,295.15,1.49,7.1
