Lab Group,P1 (bar_gauge),P2 (bar_gauge),P3 (bar_gauge),T1 (°C),T2 (°C),T3 (°C),T4 (°C),Flow rate of refrigerant (kg/s),Voltage (V),Current (A)
MON,7.965,1.0025,1.05,30.7725,-9.4,-3.9375,60.8375,0.00525,120.305,2
MON,7.9425,0.9225,0.9625,31.6975,-9.89,-5.755,67.045,0.0048,120.585,1.9975
MON,7.72,0.88,0.92,31.45,-10.49,-2.42,67.6,0.0051,120.07,2.01
MON,7.49,0.79,0.84,30.43,-11.75,-9.49,67.74,0.0044,120.07,1.95
MON,8.2175,1.2475,1.2725,37.8775,-5.8,-5.23667,68.6125,0.005825,132.58,2.015
MON,8.143,1.153,1.27,31.393,-6.25,-4.55134,67.67,0.00636667,120,1.99333
MON,7.935,0.99,1.025,32.545,-8.25,-1.71,68.92,0.0051,119.9,1.995
MON,7.97,1.07,1.1,32.4,-7.48,-5,69.32,0.0048,119.5,1.98
MON,7.98,1.02,1.05,32.27,-5.7,-8.28,69.37,0.0045,119.44,1.97
MON,7.64,0.89,0.94,31.61,-9.74,-10.21,69.14,0.0044,119.4,1.99
MON,9.12,1.62,1.63,36.39,-1.17,-1.53,70.61,0.0052,119.83,2.03
MON,8.1775,1.105,1.135,33.0025,-6.69,-2.46,69.4275,0.005025,119.4425,2
MON,8.095,1.07,1.1,32.04,-6.54,-2.055,69.15,0.00495,119.4775,1.9425
MON,8.034,1.084,1.2125,32.096,-4.626,-1.126,59.588,0.005675,119.9775,2.002
TUE,8.04,1.094,1.13,31.76,-6.406,-3.336,64.842,0.00516,120.248,2.02
TUE,7.824,0.968,1.012,31.196,-9.208,-7.454,66.804,0.00472,120.232,2.012
TUE,8.05,1.116,1.15,32.642,-5.974,0.284,66.674,0.00554,113.972,2.026
TUE,7.825,0.99,1.0475,31.8975,-5.325,-7.3575,51.1075,0.005325,119.2,1.9925
TUE,8.0925,1.1825,1.2225,31.505,-4.7025,-2.885,63.8675,0.00515,119.05,2.0075
TUE,8.08,1.15,1.18,31.53,-5.27,-3.31,6.19,0.0051,119.43,2.02
TUE,7.972,1.134,1.16,31.444,-5.568,-3.2,66.71,0.00502,135.802,1.992
TUE,7.748,1.004,1.042,29.912,-6.506,-4.584,66.096,0.00492,119.924,1.996
TUE,7.748,1.028,1.066,30.188,-5.236,-2.948,65,0.00514,119.806,2.002
WED,8.36,1.175,1.21,32.735,-6.65,-7.36,55.945,0.0049,119.74,2.005
WED,8.1525,1.0325,1.0925,30.14,-8.8575,-0.62,62.1225,0.005275,119.5825,2.0175
WED,8.235,1.1725,1.205,31.315,-7.1375,-4.905,63.925,0.00505,119.98,2.03
WED,8.06,1.0625,1.1,30.23,-8.706,-6.505,64.198,0.004825,119.83,1.993
WED,7.49,0.79,0.84,30.43,-11.75,-9.49,67.74,0.0044,120.07,1.95
THU,7.74,1,1,31.54,-8.93,-2,63.85,0.0052,119.46,1.89
MON,8.095,1.07,1.1,32.04,-6.54,-2.055,69.17,0.00495,119.4775,1.9425
THU,7.528,0.772,0.826,30.636,-11.828,-8.946,65.148,0.00456,120.124,1.992
THU,7.98,1.02,1.05,32.27,-5.7,-8.28,69.37,0.0045,119.44,1.97
THU,7.496,0.82,0.864,28.178,-11.1,-2.772,67.564,0.00486,119.336,1.932
THU,7.53,0.84,0.9,30.83,10.94,7.5,65.07,0.0047,120.3,2.01
THU,7.528,0.772,0.826,30.636,-11.828,-8.946,65.148,0.00456,120.124,1.992
MON,7.98,1.02,1.05,32.27,-5.7,-8.28,69.37,0.0045,119.44,1.97
THU,7.64,0.89,0.94,31.61,-9.74,-10.21,64.19283333,0.0044,119.4,1.99
MON,9.12,1.62,1.64,36.39,-1.17,-1.53,64.19283333,0.0052,119.83,2.03
